,Time,robot_force,event_distance,deltax,weiss_z_force,radpose
70,1626252558.0917802,-3.51007747650146,66.22119140625,0.5793543315634,1.889,0.011000000000000001
71,1626252559.09833,-3.1452226638793905,66.22879028320311,0.579372097530256,1.8940000000000001,0.012
72,1626252561.69242,-1.1975237131118799,66.55133056640629,0.578407805585526,1.6280000000000001,0.001
73,1626252564.28958,-0.019443850964308,70.82969665527341,0.5774163180301479,1.033,0.002
74,1626252566.88004,0.5135872364044191,74.8386993408203,0.5763789670262081,0.619,0.003
75,1626252569.47513,1.16432332992554,76.2157745361328,0.575406957820481,-0.196,0.004
76,1626252572.0670002,1.87834131717682,79.4875869750977,0.574390966432432,-0.597,0.005
77,1626252574.6619802,2.84169244766235,82.0347595214844,0.5734183284460931,-1.492,0.006
78,1626252577.25615,3.99296641349792,84.698974609375,0.572403592294636,-2.71,0.006999999999999999
79,1626252579.85196,5.12773752212524,85.3354949951172,0.5714095918270721,-3.7110000000000003,0.008
80,1626252582.445,6.72154951095581,86.6117401123047,0.570395462048501,-5.232,0.009000000000000001
81,1626252585.0388901,8.95884323120117,88.3356781005859,0.5694008377829449,-6.87,0.01
82,1626252587.63185,11.573850631713901,90.1637420654297,0.568407464595826,-9.581,0.011000000000000001
83,1626252588.63544,11.1813640594482,90.3276901245117,0.568368959219476,-9.94,0.012
84,1626252591.2368698,6.364306926727299,87.68627166748051,0.5693326205831291,-6.707000000000001,0.001
85,1626252593.83026,3.53367686271667,87.0808563232422,0.570347989510307,-5.1370000000000005,0.002
86,1626252596.4247699,1.8914074897766102,85.3647537231445,0.571345130404853,-2.7489999999999997,0.003
87,1626252599.02277,0.600339770317078,83.86387634277341,0.572365517998924,-2.4619999999999997,0.004
88,1626252601.6226099,-0.40084150433540294,82.7090148925781,0.5733588918226,-0.805,0.005
89,1626252604.2126698,-1.12092757225037,80.8733139038086,0.574352891032207,-1.008,0.006
90,1626252606.80787,-1.7801530361175502,78.49952697753909,0.5753669941012199,0.449,0.006999999999999999
91,1626252609.41051,-2.11025166511536,74.5515899658203,0.576359108202622,0.19699999999999998,0.008
92,1626252612.00373,-2.65503215789795,70.2563323974609,0.577330457720982,1.2209999999999999,0.009000000000000001
93,1626252614.60164,-3.21219348907471,66.26626586914061,0.578363414654154,1.006,0.01
94,1626252617.19237,-3.48591136932373,66.06973266601561,0.579359928047996,1.883,0.011000000000000001
95,1626252618.19734,-3.13960862159729,66.2051467895508,0.5793720440126671,1.7630000000000001,0.012
96,1626252620.79551,-1.26669728755951,66.5883255004883,0.578400829265256,1.182,0.001
97,1626252623.3913,-0.094683937728405,71.0279541015625,0.57738672533553,1.288,0.002
98,1626252625.98964,0.48003232479095503,74.69142150878909,0.576395238157212,-0.159,0.003
99,1626252628.5852,1.17344653606415,76.00038146972659,0.575381745436588,0.028999999999999998,0.004
100,1626252631.18047,1.8963987827301,79.31898498535159,0.574388373446085,-1.344,0.005
101,1626252633.77362,2.88749194145203,81.9018859863281,0.5733943725298101,-1.271,0.006
102,1626252636.36632,3.97035360336304,84.1631240844727,0.572397241125259,-2.162,0.006999999999999999
103,1626252638.96,5.128722190856929,85.4429092407227,0.5713831341223,-3.335,0.008
104,1626252641.56159,6.7720742225647,86.59054565429692,0.570395416899193,-4.9719999999999995,0.009000000000000001
105,1626252644.1539,9.04119777679443,88.3356399536133,0.5693794258036939,-6.812,0.01
106,1626252646.75185,11.550306320190401,89.9815826416016,0.5683866819506429,-9.097999999999999,0.011000000000000001
107,1626252647.7549698,11.146969795227099,90.13357543945308,0.568368912571698,-9.052999999999999,0.012
108,1626252650.34963,6.347388744354251,87.6599807739258,0.569338875378269,-6.433,0.001
109,1626252652.94484,3.5248429775237997,87.0469818115234,0.5703328744436271,-4.223,0.002
110,1626252655.54066,1.85910499095917,85.2247085571289,0.571346979677376,-2.696,0.003
111,1626252658.13829,0.6681689620018011,83.78175354003909,0.57233972208004,-1.54,0.004
112,1626252660.73074,-0.416567116975784,82.2361679077148,0.573333721146715,-0.637,0.005
113,1626252663.32611,-1.1896998882293701,80.8168716430664,0.574347826360975,-0.063,0.006
114,1626252665.92545,-1.83613777160645,78.4942932128906,0.5753417305617529,0.519,0.006999999999999999
115,1626252668.5197,-2.23461103439331,74.4962921142578,0.576335729311772,1.153,0.008
116,1626252671.10958,-2.71103405952454,70.1867752075195,0.5773529746284649,1.462,0.009000000000000001
117,1626252673.70859,-3.25973629951477,66.2526092529297,0.578343831994062,1.8869999999999998,0.01
118,1626252676.30815,-3.50950074195862,66.2477569580078,0.579334686950184,1.909,0.011000000000000001
119,1626252677.31754,-3.19481420516968,66.19949340820311,0.579371935282977,1.959,0.012
120,1626252679.9161198,-1.20890867710114,66.5281219482422,0.5783812538447249,1.919,0.001
121,1626252682.5092301,-0.09011745452880901,70.9414825439453,0.577386624762004,1.4709999999999999,0.002
122,1626252685.1022902,0.442359209060669,74.990966796875,0.57639388046128,0.769,0.003
123,1626252687.6983,1.17016386985779,76.0386199951172,0.57537977340415,0.235,0.004
124,1626252690.28936,1.92308950424194,79.38682556152341,0.5743838877594399,-0.682,0.005
125,1626252692.8822598,2.77078676223755,82.0213623046875,0.573387373820708,-1.104,0.006
126,1626252695.49047,3.8643660545349103,84.2700500488281,0.5723757795035379,-2.064,0.006999999999999999
127,1626252698.08316,5.1440372467041,85.39527893066409,0.5713817776257559,-3.305,0.008
128,1626252700.68208,6.669720649719241,86.8338394165039,0.570391547083427,-4.718999999999999,0.009000000000000001
