Time,ms_error,force_desired,force_event,force_weiss,force_robot,force_weiss2,delta_z
1629894735.4828305,11.970000267028809,-1.7408292293548584,-5.7264814376831055,0.0,5.649811267852783,-5.184,0.5900414417758092
1629894735.505001,11.970999717712402,-1.9529377222061157,-5.8284430503845215,0.0,5.649811267852783,-5.307,0.5900414417758092
1629894735.5464082,11.973999977111816,-2.3711655139923096,-6.384465217590332,0.0,6.169737815856934,-5.533,0.5900414417758092
1629894735.59051,11.977999687194824,-2.980455160140991,-6.633992671966553,0.0,6.2953948974609375,-5.73,0.5900414417758092
1629894735.6354673,11.97700023651123,-3.3722758293151855,-6.458889007568359,0.0,6.224436283111572,-5.772,0.5900414417758092
1629894735.6786268,11.972999572753906,-3.9345836639404297,-6.5352559089660645,0.0,6.090213775634766,-5.659,0.5900414417758092
1629894735.6787052,11.972999572753906,-3.9345836639404297,-6.5352559089660645,0.0,6.090213775634766,-5.659,0.5900414417758092
1629894735.7291133,11.96399974822998,-4.461967945098877,-5.782651424407959,0.0,5.557987689971924,-5.411,0.5900414417758092
1629894735.7451072,11.960000038146973,-4.629183292388916,-5.778768062591553,0.0,5.557987689971924,-5.284,0.5900414417758092
1629894735.7905302,11.947999954223633,-5.102780342102051,-5.722362518310547,0.0,4.4561638832092285,-4.99,0.5900414417758092
1629894735.8380373,11.939000129699707,-5.393592834472656,-4.559228420257568,0.0,3.6523406505584717,-4.55,0.5900414417758092
1629894735.8783774,11.930000305175781,-5.78956413269043,-3.394629716873169,0.0,2.5350887775421143,-3.751,0.5900414417758092
1629894735.9236684,11.932000160217285,-6.134146690368652,-1.8785936832427979,0.0,-0.4411032497882843,-2.537,0.5900414417758092
1629894735.96647,11.946999549865723,-6.424282550811768,-1.0796451568603516,0.0,-1.5580753087997437,-1.232,0.5900414417758092
1629894735.9831464,11.954000473022461,-6.508435249328613,-0.851523756980896,0.0,-1.5580753087997437,-0.748,0.5900414417758092
1629894736.026363,11.975000381469727,-6.657395839691162,-0.0,0.0,-3.233137369155884,0.215,0.5900414417758092
1629894736.0706136,12.01099967956543,-6.831417560577393,-0.0,0.0,-3.8063039779663086,0.733,0.5900414417758092
1629894736.1186802,12.050000190734863,-6.944802761077881,-0.0,0.0,-3.965897560119629,0.933,0.5900414417758092
1629894736.1667364,12.08899974822998,-6.996545791625977,-0.0,0.0,-3.5917716026306152,0.87,0.5900414417758092
1629894736.1867113,12.102999687194824,-7.0,-0.0,0.0,-3.4410438537597656,0.787,0.5900414417758092
1629894736.2345593,12.142000198364258,6.968933582305908,-0.0,0.0,-3.3574392795562744,0.644,0.5900414417758092
1629894736.2785056,12.175999641418457,6.876010894775391,-0.30589795112609863,0.0,-3.2951109409332275,0.649,0.5900414417758092
1629894736.3249145,12.206999778747559,6.722055912017822,-0.35245609283447266,0.0,-3.324296236038208,0.527,0.5900414417758092
1629894736.3669305,12.22700023651123,6.586165428161621,-0.36887863278388977,0.0,-3.709326982498169,0.385,0.5900414417758092
1629894736.36701,12.22700023651123,6.586165428161621,-0.36887863278388977,0.0,-3.709326982498169,0.389,0.5900414417758092
1629894736.4145653,12.256999969482422,6.333789348602295,-0.0,0.0,-3.916409730911255,0.62,0.5900414417758092
1629894736.4302845,12.265999794006348,6.237045764923096,-0.0,0.0,-4.183154582977295,0.699,0.5900414417758092
1629894736.4704378,12.284000396728516,6.02519416809082,-0.0,0.0,-4.514599800109863,0.865,0.5900414417758092
1629894736.5183325,12.305999755859375,5.663118839263916,-0.0,0.0,-4.492025852203369,0.933,0.5900414417758092
1629894736.5630853,12.324000358581543,5.250777721405029,-0.0,0.0,-4.412891864776611,0.911,0.5900414417758092
1629894736.6068215,12.336999893188477,4.791829586029053,-0.0,0.0,-4.384031295776367,0.829,0.5900414417758092
1629894736.6547308,12.345000267028809,4.29034948348999,-0.0,0.0,-4.676845550537109,0.844,0.5900414417758092
1629894736.6669095,12.347000122070312,4.11449670791626,-0.0,0.0,-4.676845550537109,0.844,0.5900414417758092
1629894736.7107022,12.348999977111816,3.7507874965667725,-0.0,0.0,-4.178613662719727,0.867,0.5900414417758092
1629894736.7584267,12.345999717712402,2.980455160140991,-0.0,0.0,-4.006976127624512,1.0,0.5900414417758092
1629894736.8026853,12.343000411987305,2.576871871948242,-0.0,0.0,-3.9217960834503174,1.017,0.5900414417758092
1629894736.8506486,12.335000038146973,1.9529377222061157,-0.0,0.0,-3.733139753341675,0.964,0.5900414417758092
1629894736.890805,12.324000358581543,1.3116692304611206,-0.0,0.0,-3.696239948272705,0.97,0.5900414417758092
1629894736.905078,12.319999694824219,1.095041275024414,-0.0,0.0,-3.6762101650238037,0.983,0.5900414417758092
1629894736.95732,12.307999610900879,0.43953365087509155,-0.0,0.0,-3.563131809234619,0.964,0.5900414417758092
1629894736.998396,12.295000076293945,0.0,-0.0,0.0,-3.575010299682617,0.906,0.5900414417758092
1629894737.0468287,12.281999588012695,0.0,-0.0,0.0,-3.472364664077759,0.942,0.5900414417758092
1629894737.0905623,12.27299976348877,0.0,-0.0,0.0,-3.4944193363189697,0.865,0.5900414417758092
1629894737.109191,12.269000053405762,0.0,-0.0,0.0,-3.4944193363189697,0.823,0.5900414417758092
1629894737.1503837,12.255999565124512,0.0,-0.0,0.0,-2.9881632328033447,0.757,0.5900414417758092
1629894737.1945784,12.246999740600586,0.0,-0.0,0.0,-3.1542277336120605,0.791,0.5900414417758092
1629894737.2409074,12.234000205993652,0.0,-0.0,0.0,-3.058197498321533,0.884,0.5900414417758092
1629894737.2834451,12.220999717712402,0.0,-0.0,0.0,-3.097217321395874,0.84,0.5900414417758092
1629894737.3266516,12.208999633789062,0.0,-0.0,0.0,-2.7562618255615234,0.811,0.5900414417758092
1629894737.3268337,12.208999633789062,0.0,-0.0,0.0,-2.7562618255615234,0.811,0.5900414417758092
1629894737.3704393,12.196000099182129,0.0,-0.0,0.0,-2.8994035720825195,0.801,0.5900414417758092
1629894737.3824515,12.196000099182129,0.0,-0.0,0.0,-2.6538138389587402,0.816,0.5900414417758092
1629894737.4258208,12.182999610900879,0.0,-0.0,0.0,-2.7663304805755615,0.893,0.5900414417758092
1629894737.4665806,12.170000076293945,0.0,-0.0,0.0,-2.6876187324523926,0.952,0.5900414417758092
1629894737.5105555,12.161999702453613,0.0,-0.0,0.0,-2.7965247631073,0.965,0.5900414417758092
1629894737.5545495,12.14900016784668,0.0,-0.0,0.0,-2.8285746574401855,0.91,0.5900414417758092
1629894737.5984943,12.13700008392334,0.0,-0.0,0.0,-2.7737081050872803,0.908,0.5900414417758092
1629894737.6196563,12.131999969482422,0.0,-0.0,0.0,-2.7737081050872803,0.896,0.5900414417758092
1629894737.6624343,12.119999885559082,0.0,-0.0,0.0,-2.659701347351074,0.88,0.5900414417758092
1629894737.7064552,12.107000350952148,0.0,-0.0,0.0,-2.7492008209228516,0.907,0.5900414417758092
1629894737.7506497,12.093999862670898,0.0,-0.0,0.0,-2.701197862625122,0.923,0.5900414417758092
1629894737.7951531,12.081999778747559,0.0,-0.0,0.0,-2.6555089950561523,0.807,0.5900414417758092
1629894737.8385448,12.069000244140625,0.0,-0.0,0.0,-2.396334648132324,0.725,0.5900414417758092
1629894737.8385968,12.069000244140625,0.0,-0.0,0.0,-2.396334648132324,0.725,0.5900414417758092
1629894737.8825974,12.060999870300293,0.0,-0.4398740231990814,0.0,-2.023752450942993,0.495,0.5900414417758092
1629894737.9013073,12.057000160217285,0.0,-0.5393099188804626,0.0,-2.023752450942993,0.383,0.5900414417758092
1629894737.9424443,12.045000076293945,0.0,-0.7807178497314453,0.0,-1.5647636651992798,0.183,0.5900414417758092
1629894737.9866312,12.036999702453613,0.0,-1.0093441009521484,0.0,-1.3003274202346802,-0.119,0.5900414417758092
1629894738.0345907,12.026000022888184,0.0,-1.1226547956466675,0.0,-0.6041315197944641,-0.493,0.5900414417758092
1629894738.0347364,12.026000022888184,0.0,-1.1226547956466675,0.0,-0.6041315197944641,-0.509,0.5900414417758092
1629894738.0789354,12.015000343322754,0.0,-1.2184109687805176,0.0,-0.40646615624427795,-0.817,0.5900414417758092
1629894738.0972009,12.01200008392334,0.0,-1.2449895143508911,0.0,0.05598955601453781,-0.925,0.5900414417758092
1629894738.142553,12.00100040435791,0.0,-1.4378398656845093,0.0,0.24107396602630615,-1.161,0.5900414417758092
1629894738.1937697,11.991000175476074,0.0,-1.6537119150161743,0.0,0.6112253665924072,-1.473,0.5900414417758092
1629894738.2348454,11.986000061035156,0.0,-2.1642277240753174,0.0,1.5460985898971558,-1.797,0.5900414417758092
1629894738.2349858,11.986000061035156,0.0,-2.1642277240753174,0.0,1.5460985898971558,-1.816,0.5900414417758092
1629894738.2826965,11.979999542236328,0.0,-2.5284035205841064,0.0,2.068096399307251,-2.356,0.5900414417758092
1629894738.3023565,11.977999687194824,0.0,-2.948493242263794,0.0,2.8953917026519775,-2.586,0.5900414417758092
1629894738.3423753,11.97700023651123,0.0,-3.3708393573760986,0.0,3.1476891040802,-3.252,0.5900414417758092
1629894738.387696,11.979999542236328,0.0,-3.987840414047241,0.0,3.867936611175537,-3.864,0.5900414417758092
1629894738.4305377,11.984000205993652,0.0,-4.290050506591797,0.0,4.305450439453125,-4.242,0.5900414417758092
1629894738.4745758,11.991000175476074,0.0,-4.296306133270264,0.0,4.174685955047607,-4.28,0.5900414417758092
1629894738.4746723,11.991000175476074,0.0,-4.296306133270264,0.0,4.174685955047607,-4.273,0.5900414417758092
1629894738.5197124,11.994999885559082,0.0,-3.894723892211914,0.0,4.189339637756348,-4.04,0.5900414417758092
1629894738.540927,11.996000289916992,0.0,-3.9741084575653076,0.0,4.189339637756348,-3.829,0.5900414417758092
1629894738.582581,12.003000259399414,0.0,-4.434884071350098,0.0,4.254897594451904,-3.875,0.5900414417758092
1629894738.626651,12.01200008392334,-0.43953365087509155,-4.816612243652344,0.0,4.488531112670898,-4.371,0.5900414417758092
1629894738.6705918,12.015999794006348,-0.8773326277732849,-5.079323768615723,0.0,4.892209053039551,-4.778,0.5900414417758092
1629894738.7184992,12.020999908447266,-1.5270026922225952,-5.729592323303223,0.0,5.603663444519043,-5.349,0.5900414417758092
1629894738.7186604,12.020999908447266,-1.5270026922225952,-5.729592323303223,0.0,5.603663444519043,-5.37,0.5900414417758092
1629894738.7628686,12.027000427246094,-2.163119077682495,-6.349140167236328,0.0,6.032586097717285,-5.646,0.5900414417758092
1629894738.778529,12.027999877929688,-2.3711655139923096,-6.411469459533691,0.0,6.032586097717285,-5.671,0.5900414417758092
1629894738.82261,12.029000282287598,-2.980455160140991,-6.259812355041504,0.0,5.799759864807129,-5.547,0.5900414417758092
1629894738.8727853,12.027000427246094,-3.3722758293151855,-6.163145542144775,0.0,5.776659965515137,-5.329,0.5900414417758092
1629894738.9104567,12.02299976348877,-3.9345836639404297,-6.786789894104004,0.0,5.861598014831543,-5.542,0.5900414417758092
1629894738.9587758,12.020000457763672,-4.461967945098877,-7.617681980133057,0.0,6.599318027496338,-6.028,0.5900414417758092
1629894739.0026486,12.013999938964844,-4.949747562408447,-7.184079170227051,0.0,6.661978721618652,-6.083,0.5900414417758092
1629894739.017039,12.013999938964844,-4.949747562408447,-7.184079170227051,0.0,6.661978721618652,-6.01,0.5900414417758092
1629894739.0623264,12.003999710083008,-5.393592834472656,-6.627593040466309,0.0,6.112114429473877,-5.78,0.5900414417758092
1629894739.1066916,11.991999626159668,-5.78956413269043,-6.179967403411865,0.0,5.724905967712402,-5.42,0.5900414417758092
1629894739.1514604,11.979999542236328,-6.134146690368652,-5.713595867156982,0.0,5.137050628662109,-5.18,0.5900414417758092
1629894739.1955776,11.970000267028809,-6.424282550811768,-4.935912609100342,0.0,3.904989719390869,-5.046,0.5900414417758092
1629894739.2385936,11.96399974822998,-6.586165428161621,-4.378748893737793,0.0,3.132707357406616,-4.507,0.5900414417758092
1629894739.2638319,11.961999893188477,-6.722055912017822,-3.527981758117676,0.0,3.132707357406616,-4.085,0.5900414417758092
1629894739.3064694,11.96500015258789,-6.831417560577393,-2.7092223167419434,0.0,0.5589188933372498,-2.96,0.5900414417758092
1629894739.3505204,11.977999687194824,-6.944802761077881,-1.4861613512039185,0.0,-0.5975106358528137,-1.745,0.5900414417758092
1629894739.406043,12.00100040435791,-6.996545791625977,-0.986907422542572,0.0,-2.620699882507324,-0.473,0.5900414417758092
1629894739.4426816,12.031999588012695,6.986186981201172,-0.0,0.0,-3.2411351203918457,0.173,0.5900414417758092
1629894739.4616318,12.045000076293945,6.968933582305908,-0.0,0.0,-3.439905881881714,0.478,0.5900414417758092
1629894739.5027916,12.079999923706055,6.876010894775391,-0.0,0.0,-3.8043270111083984,0.703,0.5900414417758092
1629894739.546597,12.102999687194824,6.7800822257995605,-0.0,0.0,-3.7547643184661865,0.779,0.5900414417758092
1629894739.5906699,12.135000228881836,6.586165428161621,-0.15604932606220245,0.0,-3.427516222000122,0.708,0.5900414417758092
1629894739.638681,12.15999984741211,6.333789348602295,-0.3393533229827881,0.0,-3.249718189239502,0.518,0.5900414417758092
1629894739.6826684,12.180999755859375,6.02519416809082,-0.3976764380931854,0.0,-3.3598761558532715,0.494,0.5900414417758092
1629894739.6988711,12.187000274658203,5.910295486450195,-0.38322216272354126,0.0,-3.6280198097229004,0.48,0.5900414417758092
1629894739.7425256,12.204000473022461,5.531085014343262,-0.0,0.0,-3.6396408081054688,0.43,0.5900414417758092
1629894739.786505,12.21500015258789,5.250777721405029,-0.0,0.0,-3.853905439376831,0.571,0.5900414417758092
1629894739.830741,12.22700023651123,4.791829586029053,-0.0,0.0,-4.257518768310547,0.841,0.5900414417758092
1629894739.878488,12.234999656677246,4.29034948348999,-0.0,0.0,-4.364520072937012,0.977,0.5900414417758092
1629894739.8786206,12.234999656677246,4.29034948348999,-0.0,0.0,-4.364520072937012,0.977,0.5900414417758092
1629894739.9225118,12.23799991607666,3.7507874965667725,-0.0,0.0,-4.342604160308838,0.932,0.5900414417758092
1629894739.9424994,12.23799991607666,3.3722758293151855,-0.0,0.0,-4.342604160308838,0.927,0.5900414417758092
1629894739.9865773,12.234999656677246,2.7800352573394775,-0.0,0.0,-4.585054874420166,0.929,0.5900414417758092
1629894740.0344865,12.227999687194824,2.163119077682495,-0.0,0.0,-4.640953540802002,0.956,0.5900414417758092
1629894740.0853264,12.222000122070312,1.7408292293548584,-0.0,0.0,-4.396856784820557,0.966,0.5900414417758092
1629894740.1231802,12.211999893188477,1.095041275024414,-0.0,0.0,-4.285735130310059,0.835,0.5900414417758092
1629894740.1429436,12.208000183105469,0.8773326277732849,-0.0,0.0,-4.247490406036377,0.78,0.5900414417758092
1629894740.1873748,12.196000099182129,0.21987532079219818,-0.0,0.0,-4.113442897796631,0.804,0.5900414417758092
