error,mode,mode2
3.188,vibro,AR
2.491,vibro,AR
2.129,vibro,AR
1.908,vibro,AR
2.105,vibro,AR
1.214,novibro,AR
3.359,novibro,AR
1.081,novibro,AR
2.525,novibro,AR
2.427,novibro,AR
3.032,novibro,AR
2.828,novibro,AR
1.326,novibro,AR
1.743,novibro,AR
0.763,novibro,AR
1.825,novibro,AR
3.464,novibro,AR
1.417,novibro,AR
2.525,novibro,AR
3.208,novibro,AR
3.793,novibro,AR
2.003,novibro,AR
1.467,novibro,AR
2.779,novibro,AR
1.409,novibro,AR
1.905,novibro,AR
3.381,novibro,AR
1.032,novibro,AR
2.332,novibro,AR
3.064,novibro,AR
4.059,novibro,AR
1.787,novibro,AR
2.487,novibro,AR
1.33,novibro,AR
1.671,novibro,AR
2.566,novibro,AR
3.195,novibro,AR
2.221,novibro,AR
2.007,novibro,AR
3.04,novibro,AR
3.596,novibro,AR
1.121,novibro,AR
2.057,novibro,AR
1.382,novibro,AR
1.638,novibro,AR
1.689,novibro,AR
4.219,novibro,AR
2.138,novibro,AR
2.379,novibro,AR
3.062,novibro,AR
3.019,novibro,AR
2.132,novibro,AR
1.517,novibro,AR
1.501,novibro,AR
1.302,novibro,AR
2.913,novibro,AR
3.457,novibro,AR
2.518,novibro,AR
2.25,novibro,AR
2.814,novibro,AR
3.155,novibro,AR
1.063,novibro,AR
1.626,novibro,AR
1.517,novibro,AR
1.427,novibro,AR
2.378,novibro,AR
2.944,novibro,AR
2.038,novibro,AR
2.386,novibro,AR
3.382,novibro,AR
3.281,novibro,AR
2.251,novibro,AR
1.252,novibro,AR
1.521,novibro,AR
1.291,novibro,AR
2.382,novibro,AR
3.579,novibro,AR
1.444,novibro,AR
1.799,novibro,AR
2.856,novibro,AR
3.761,novibro,AR
1.288,novibro,AR
0.842,novibro,AR
1.556,novibro,AR
1.361,novibro,AR
2.714,novibro,AR
3.422,novibro,AR
0.937,novibro,AR
2.425,novibro,AR
3.444,novibro,AR
3.671,novibro,AR
2.032,novibro,AR
1.271,novibro,AR
2.671,novibro,AR
1.416,novibro,AR
2.073,novibro,AR
2.668,novibro,AR
2.009,novibro,AR
2.445,novibro,AR
2.902,novibro,AR
4.398,novibro,AR
2.987,novibro,AR
1.995,novibro,AR
2.277,novibro,AR
1.194,novibro,AR
1.859,novibro,AR
3.514,novibro,AR
1.734,novibro,AR
2.435,novibro,AR
2.934,novibro,AR
3.088,novibro,AR
1.52,novibro,AR
2.595,novibro,AR
1.575,novibro,AR
1.441,novibro,AR
1.627,novibro,AR
2.273,novibro,AR
2.591,novibro,AR
2.345,novibro,AR
3.194,novibro,AR
2.72,novibro,AR
